Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2016,1,27,14:00,UTC,8,987.5,100,0,8,1.3,1.3,12546,181,5.1,3.9
2016,1,27,15:00,UTC,8,987.9,100,0,7,1.5,1.5,31988,192,6.1,4.8
2016,1,27,16:00,UTC,8,987.7,100,0,7,1.4,1.4,6852,199,5.8,3.8
2016,1,27,17:00,UTC,8,988,100,0,7,1.5,1.5,10075,210,6.1,4.2
2016,1,27,18:00,UTC,8,988,100,0,7,1.4,1.4,6914,217,5.5,4
2016,1,27,19:00,UTC,8,988,100,0,7,1.2,1.2,6382,214,3.9,2.8
2016,1,27,20:00,UTC,8,987.8,100,0,6,1.1,1.1,6535,230,3.1,1.7
2016,1,27,21:00,UTC,8,987.9,100,0,6,0.9,0.9,5433,236,2.5,1.7
2016,1,27,22:00,UTC,9,988,100,0,6,0.9,0.9,1964,204,4.5,3.2
2016,1,27,23:00,UTC,9,988,100,0,6,0.8,0.8,1081,212,3.6,2.8
2016,1,28,00:00,UTC,9,987.3,100,0,6,0.6,0.6,854,188,3.5,2.6
2016,1,28,01:00,UTC,9,987.2,100,0,6,0.5,0.5,996,175,1.6,0.8
2016,1,28,02:00,UTC,9,986.8,100,0,6,0.5,0.5,377,163,2.1,1.6
2016,1,28,03:00,UTC,9,986,100,0,6,0.2,0.2,219,128,0.7,0.6
2016,1,28,04:00,UTC,9,985.3,100,0,6,0.2,0.2,307,33,1.3,0.9
2016,1,28,05:00,UTC,9,984.7,100,0,6,0.3,0.3,236,64,1.8,1.3
2016,1,28,06:00,UTC,9,984,100,0.2,6,0.1,0.1,719,38,2.9,2.1
2016,1,28,07:00,UTC,8,983.6,100,0,6,0.2,0.2,6984,45,3.7,2.9
2016,1,28,08:00,UTC,8,982.8,100,0,6,0.2,0.2,7894,46,4.9,3.5
2016,1,28,09:00,UTC,7,981.9,100,0,6,0.3,0.3,11566,42,5,3.6
2016,1,28,10:00,UTC,8,981.6,100,0.7,6,0.4,0.4,3855,43,5.5,3.8
2016,1,28,11:00,UTC,8,981.2,100,0.5,6,0.2,0.2,3168,26,5.5,3.6
2016,1,28,12:00,UTC,8,980.9,100,1,6,0.3,0.3,5350,21,6.9,4.6
2016,1,28,13:00,UTC,8,981.3,100,0.5,7,0.1,0.1,1907,17,7.1,5.2
2016,1,28,14:00,UTC,8,981.9,100,0.8,7,0.1,0.1,2375,5,8.4,6.2
2016,1,28,15:00,UTC,8,983,100,0,7,0.1,0.1,2514,355,9.4,7.2
2016,1,28,16:00,UTC,7,984.2,100,0.2,8,0,0,2100,343,8.6,6.9
2016,1,28,17:00,UTC,7,985.4,100,0,7,-0.2,-0.2,4848,339,9.7,7.2
2016,1,28,18:00,UTC,7,986.8,100,0,8,-0.5,-0.5,2638,336,9.5,7.2
2016,1,28,19:00,UTC,8,987.9,100,0,8,-0.8,-0.8,1661,327,7.5,4.9
2016,1,28,20:00,UTC,7,989,100,0,9,-1.7,-1.7,44444,324,7.3,5.1
2016,1,28,21:00,UTC,7,990.3,100,0,9,-2.1,-2.1,39044,303,6.7,4.6
2016,1,28,22:00,UTC,7,991.2,100,0,9,-2.7,-2.7,50000,310,7.1,4.1
2016,1,28,23:00,UTC,0,992.2,100,0,9,-3.9,-3.9,49545,256,3.7,2.6
2016,1,29,00:00,UTC,0,992.9,100,0,9,-5.2,-5.2,50000,249,4.5,3.1
2016,1,29,01:00,UTC,0,993.2,100,0,9,-6.2,-6.3,50000,230,3,2.4
2016,1,29,02:00,UTC,0,993.7,100,0,9,-6.1,-6.1,50000,238,4.4,3.4
2016,1,29,03:00,UTC,0,994,100,0,9,-6.3,-6.3,50000,235,4.5,2.9
