pvm,Eväät,viikonpäivä,viikko,viime viikon ARIILI-käynnit,toissa viikon ARIILI-käynnit,Ilman lämpötila,Pilvisyys,Tuulennopeus,Näkyvyys,Sademäärä,hedelmäinen,herne,jauheliha,jää,kala,kalkkuna,kana,kastike,kasvis,kebab,keitto,kesä,kiisseli,kinkku,kiusaus,laatikko,lasagne,lasagnette,leike,liha,makaroni,makkara,manna,mureke,muusi,nakki,nugetti,ohra,ohukainen,pasta,peruna,pihvi,pinaatti,puuro,pyörykkä,päivä,riisi,salaatti,sose,talo,tonnikala,uuni,vuoka,Lounas koulut
2017-11-27,0.0,1,48,0.0032034417849283905,0.0031953992885884685,2.642857142857143,7.7142857142857135,5.1,30.08871428571429,0.08571428571428573,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7137989778534923
2017-11-28,0.014018691588785048,2,48,0.0032034417849283905,0.0031953992885884685,0.2285714285714286,7.7142857142857135,1.5285714285714287,20.961,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7989778534923339
2017-11-29,0.0,3,48,0.0032034417849283905,0.0031953992885884685,0.3857142857142857,8.0,1.842857142857143,8.530285714285714,0.21428571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8245315161839863
2017-11-30,0.0,4,48,0.0032034417849283905,0.0031953992885884685,1.614285714285714,7.7142857142857135,1.842857142857143,12.123857142857144,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7120954003407155
2017-12-01,0.0,5,48,0.0032034417849283905,0.0031953992885884685,-0.6428571428571429,7.2857142857142865,3.185714285714286,32.99014285714286,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7018739352640545
2017-12-04,0.0,1,49,0.004026213431573264,0.0032034417849283905,-0.9428571428571428,5.428571428571429,2.4285714285714284,45.18471428571429,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6814310051107325
2017-12-07,0.0,4,49,0.004026213431573264,0.0032034417849283905,-4.128571428571428,7.2857142857142865,4.442857142857141,43.37285714285714,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8347529812606473
2017-12-08,0.0,5,49,0.004026213431573264,0.0032034417849283905,1.7714285714285718,7.7142857142857135,4.342857142857143,30.645,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8432708688245315
2017-12-11,0.0,1,50,0.004505059879772229,0.004026213431573264,0.7142857142857143,7.571428571428571,3.771428571428572,44.195714285714295,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7563884156729132
2017-12-12,0.0,2,50,0.004505059879772229,0.004026213431573264,-2.3428571428571425,8.0,2.6714285714285717,2.452142857142857,0.5428571428571428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6984667802385008
2017-12-13,0.0,3,50,0.004505059879772229,0.004026213431573264,-2.628571428571429,6.857142857142858,4.957142857142856,42.414,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.7325383304940375
2017-12-14,0.0,4,50,0.004505059879772229,0.004026213431573264,1.2857142857142858,6.857142857142858,6.757142857142857,32.93085714285714,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7189097103918228
2017-12-15,0.0,5,50,0.004505059879772229,0.004026213431573264,-1.7714285714285711,7.7142857142857135,2.8714285714285714,13.238714285714286,0.15714285714285714,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.7836456558773425
2017-12-18,0.0,1,51,0.0043789471698352615,0.004505059879772229,-0.11428571428571425,7.857142857142858,3.7714285714285714,32.72542857142857,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6814310051107325
2017-12-19,0.0,2,51,0.0043789471698352615,0.004505059879772229,-0.5428571428571428,8.0,2.042857142857143,5.815142857142857,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696763202725724
2017-12-21,0.0,4,51,0.0043789471698352615,0.004505059879772229,-0.20000000000000004,5.571428571428571,3.914285714285714,22.104142857142854,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.7666098807495741
2017-12-22,0.0,5,51,0.0043789471698352615,0.004505059879772229,-2.1,0.5714285714285714,2.9,46.45385714285714,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6814310051107325
2018-01-02,0.0,2,1,0.005240852309085222,0.004953269665360926,-3.457142857142857,7.7142857142857135,1.8285714285714287,11.106285714285717,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7580919931856899
2018-01-03,0.0,3,1,0.005240852309085222,0.004953269665360926,0.8857142857142858,7.571428571428571,2.442857142857143,13.284428571428574,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7495741056218058
2018-01-04,0.0,4,1,0.005240852309085222,0.004953269665360926,0.4,7.571428571428571,3.5857142857142854,28.85457142857143,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6814310051107325
2018-01-05,0.0,5,1,0.005240852309085222,0.004953269665360926,0.6714285714285714,7.857142857142858,2.9857142857142853,11.462571428571428,0.2571428571428571,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7155025553662692
2018-01-08,0.0,1,2,0.005812324929971989,0.005240852309085222,-7.471428571428571,0.0,3.3571428571428568,41.69414285714286,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7018739352640545
2018-01-09,0.0,2,2,0.005812324929971989,0.005240852309085222,-1.3,4.285714285714286,2.7428571428571433,13.466285714285714,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6643952299829642
2018-01-10,0.0,3,2,0.005812324929971989,0.005240852309085222,-6.414285714285716,8.714285714285714,1.1714285714285717,0.4508571428571429,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7495741056218058
2018-01-11,0.0,4,2,0.005812324929971989,0.005240852309085222,-8.985714285714282,8.428571428571429,1.6857142857142855,5.335428571428571,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7257240204429302
2018-01-12,0.0,5,2,0.005812324929971989,0.005240852309085222,-4.642857142857143,8.0,4.0,11.695142857142857,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8330494037478705
2018-01-15,0.0,1,3,0.005042016806722689,0.005812324929971989,-5.9,8.0,6.928571428571428,9.909857142857145,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7189097103918228
